name,count
James,5159306
John,5127501
Robert,4829274
Michael,4359820
Mary,4135851
William,4103456
David,3613916
Joseph,2603475
Richard,2570304
Charles,2391199
Thomas,2306216
Christopher,2023318
Daniel,1903647
Elizabeth,1625783
Matthew,1584209
Patricia,1576343
George,1470933
Jennifer,1470081
Linda,1455566
Barbara,1437865
Anthony,1430880
Donald,1415938
Paul,1390956
Mark,1352418
Edward,1291786
Steven,1282770
Andrew,1280459
Kenneth,1276188
Margaret,1248131
Joshua,1198955
Kevin,1168242
Brian,1166766
Susan,1123687
Dorothy,1110252
Ronald,1081167
Sarah,1073116
Timothy,1070457
Jessica,1047201
Jason,1029550
Helen,1020623
Nancy,1004617
Betty,1002894
Karen,987862
Jeffrey,976183
Lisa,967461
Ryan,939294
Frank,914040
Jacob,908360
Gary,902815
Nicholas,893128
Anna,886614
Eric,876269
Sandra,875880
Stephen,858334
Ashley,856860
Kimberly,837574
Emily,833398
Donna,832802
Jonathan,830826
Ruth,825110
Carol,824715
Michelle,811062
Larry,808467
Laura,796273
Amanda,786031
Raymond,774128
Justin,773697
Scott,773126
Melissa,754486
Brandon,754252
Rebecca,747573
Samuel,742318
Deborah,741667
Stephanie,740794
Sharon,724267
Benjamin,723465
Kathleen,712984
Cynthia,710251
Gregory,708758
Shirley,694583
Amy,690348
Jack,679235
Henry,673082
Patrick,672964
Angela,664456
Catherine,659093
Alexander,652879
Virginia,649782
Emma,635686
Katherine,633985
Jerry,628972
Walter,623037
Dennis,619551
Brenda,608656
Tyler,596630
Pamela,595405
Willie,594538
Frances,593577
Christine,586240
Nicole,586029
Peter,575073
Aaron,572326
Samantha,567504
Rachel,563117
Jose,559977
Douglas,559004
Alice,558174
Janet,557278
Carolyn,556128
Evelyn,554041
Kelly,551962
Harold,551927
Debra,551436
Martha,549973
Adam,546846
Maria,544724
Marie,537875
Nathan,536819
Zachary,529371
Arthur,528956
Heather,525786
Diane,519299
Terry,519085
Joyce,509739
Julie,508759
Carl,505477
Jordan,493787
Albert,489405
Joan,485761
Kyle,484523
Grace,484398
Jean,481414
Rose,481301
Victoria,480474
Christina,476945
Lauren,470273
Ann,469459
Doris,464964
Joe,461713
Lawrence,458316
Julia,454600
Judith,453069
Mildred,452103
Kathryn,451558
Gerald,449330
Roger,440482
Cheryl,440115
Megan,436999
Keith,436118
Andrea,434666
Jeremy,434507
Lillian,434422
Christian,427182
Jesse,426271
Taylor,424498
Harry,422522
Hannah,422497
Sara,422334
Jacqueline,421108
Sean,417953
Olivia,416199
Teresa,414095
Ralph,414066
Gloria,412473
Austin,406983
Janice,406602
Roy,406474
Theresa,404310
Ethan,401350
Alexis,396628
Louis,396473
Billy,387454
Bruce,382946
Judy,382886
Beverly,381384
Eugene,380884
Bryan,379434
Leslie,378414
Madison,373280
Denise,373106
Marilyn,370778
Jane,370379
Amber,370084
Danielle,367275
Dylan,362770
Brittany,358835
Noah,358475
Diana,357504
Russell,353788
Wayne,353330
Irene,352539
Jamie,352099
Annie,350174
Ruby,347486
Shannon,346559
Howard,346369
Abigail,346349
Alan,345292
Fred,344799
Juan,344562
Natalie,342515
Lori,341531
Philip,339290
Tiffany,336784
Charlotte,336563
Florence,336357
